1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
1,0
0,1
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
0.99,1
1,0.99
